"Geneid","Length","SRR21623193","SRR21623194","SRR21623195","SRR21623196","SRR21623197","SRR21623198"
"LOC101117652",1912,9,18,20,23,44,24
"LOC101117398",924,0,0,0,0,0,0
"ZNF157",5855,6,10,2,6,0,2
"ZNF41",4634,2,2,0,2,0,0
"LOC105605484",828,15,13,36,7,20,28
"ARAF",2439,1978,1458,2073,802,997,1026
"TIMP1",794,16052,11880,16010,11330,13918,13170
"SYN1",3172,305,240,247,239,327,286
"CFP",1642,55,42,87,50,88,96
"ELK1",3257,2713,1887,2261,1373,1884,1784
"UXT",663,442,326,426,266,266,431
"LOC101116635",564,20,10,2,6,0,10
"LOC101116382",1102,0,0,0,0,0,0
"LOC105605483",1198,0,2,0,0,0,0
"LOC101115860",2081,0,0,0,0,0,0
"LOC106991965",437,0,0,0,0,0,0
"LOC101116124",1248,22,17,38,14,28,44
"LOC101115603",1131,0,0,0,0,0,0
"LOC105614548",652,2,0,0,0,2,0
"SPACA5",5883,4,4,4,7,8,4
"ZNF182",12347,437,462,414,152,220,186
"LOC105605480",3400,94,114,184,101,92,94
"LOC105605481",643,20,17,8,10,8,4
"ZNF81",4461,300,250,328,241,290,242
"LOC101114591",1089,0,0,0,0,0,0
"SLC38A5",1793,638,426,592,361,432,513
"FTSJ1",2356,1637,1138,1441,729,901,944
"PORCN",2401,194,147,180,110,168,96
"EBP",1404,3121,1996,2430,842,1300,1058
"TBC1D25",5544,1072,709,960,308,436,410
"RBM3",1327,16652,12186,15013,9872,12932,10740
"WDR13",1588,1628,1116,1736,996,1209,999
"LOC105605474",943,0,0,2,0,0,0
"WAS",1832,5,2,13,0,28,10
"SUV39H1",2873,1043,891,1233,321,474,403
"LOC105605475",4334,29,13,42,10,6,10
"TRNAM-CAU",2830,72,71,64,66,100,61
"TRNAR-CCU",1821,111,67,94,89,104,99
"LOC105605476",2342,1,0,1,0,0,0
"LOC105605477",3751,1,4,7,0,2,2
"GLOD5",3206,4,0,6,2,2,1
"GATA1",1489,0,0,0,0,0,0
"HDAC6",4557,2040,1453,2150,804,1126,1022
"ERAS",3823,14,6,8,26,34,18
"PCSK1N",1101,96,52,88,82,79,66
"TIMM17B",703,728,456,723,342,434,355
"PQBP1",1400,498,353,464,280,446,350
"SLC35A2",2306,1003,720,930,564,597,570
"PIM2",3545,524,468,466,970,1139,1161
"OTUD5",8445,8195,6516,7940,5608,7522,6867
"KCND1",6166,74,76,62,148,196,195
"GRIPAP1",3773,637,461,580,466,566,519
"TFE3",2257,1453,1134,1502,1122,1534,1376
"CCDC120",6096,436,287,362,218,312,366
"PRAF2",1536,379,185,261,226,247,222
"WDR45",1653,1506,1005,1352,585,781,648
"LOC105605472",3113,185,172,194,180,327,251
"GPKOW",3959,390,267,363,184,293,232
"LOC105605471",316,143,90,113,69,79,65
"MAGIX",1728,132,123,117,54,88,64
"PLP2",757,7649,6093,7589,4992,6064,5764
"PRICKLE3",2226,501,419,437,377,473,430
"SYP",2705,0,0,2,1,4,2
"CACNA1F",5975,21,8,6,4,6,18
"LOC105605470",5669,39,34,44,44,46,36
"CCDC22",2297,681,438,760,326,438,398
"FOXP3",3301,14,35,34,47,65,68
"PPP1R3F",2358,342,238,328,294,500,390
"PAGE4",794,2,4,0,4,4,2
"LOC105605468",1391,10,20,4,2,0,4
"USP27X",1967,476,387,496,98,188,92
"MIR362",65,15,14,0,0,0,0
"CLCN5",21175,29179,20716,25181,13927,17558,16414
"LOC101111000",1158,3,2,0,1,0,7
"LOC101102784",345,0,0,0,0,0,0
"AKAP4",7234,584,387,434,260,322,267
"CCNB3",6858,2588,2304,2794,1905,2733,2435
"DGKK",7200,159,89,94,208,261,303
"LOC105605467",1778,330,265,330,225,246,212
"LOC101123606",914,6,2,28,20,24,12
"SHROOM4",13583,586,470,628,402,428,458
"LOC105605465",2501,0,0,0,4,0,0
"BMP15",1182,0,0,4,0,0,0
"LOC101123095",1613,0,0,4,0,0,4
"CXHXorf67",982,2,0,0,0,4,0
"NUDT11",5903,6,2,0,0,0,0
"LOC105605679",767,5,0,10,14,21,33
"GSPT2",2330,1120,744,1048,592,594,658
"MAGED1",2677,18097,13580,18310,8944,12783,10725
"LOC101122329",2551,3721,2542,3574,1687,2173,1992
"LOC105605462",1314,51,33,36,9,14,8
"GPR173",10581,2149,1825,2125,1217,1553,1503
"TSPYL2",2810,1219,884,1103,676,796,812
"LOC105605459",1130,223,186,139,108,106,120
"LOC105605460",2547,24,30,28,14,47,37
"KDM5C",8091,7028,4889,6727,3692,4503,4145
"IQSEC2",7059,620,514,759,377,544,445
"LOC105605458",1401,0,4,4,2,0,0
"SMC1A",10352,10147,8943,10414,5324,6673,6823
"RIBC1",7068,316,174,178,249,280,319
"HSD17B10",1063,594,329,452,311,403,451
"LOC105605457",1280,429,366,481,272,347,362
"MIRLET7F",83,0,0,4,4,0,0
"HUWE1",16275,35154,29150,34335,19040,24480,23779
"LOC105605456",1607,4,4,0,0,0,0
"LOC101109151",437,14,12,9,7,17,16
"PHF8",7073,2527,1883,2212,1132,1391,1374
"LOC105605454",3803,18,18,4,40,48,54
"LOC105605678",1361,6,11,12,7,8,10
"LOC106990624",3984,30,27,53,55,48,61
"FAM120C",7910,6335,4772,5732,2851,3572,3432
"WNK3",7324,416,312,366,216,306,311
"TSR2",1255,730,459,609,397,528,521
"FGD1",3679,1240,717,1021,802,949,876
"LOC105605453",428,38,34,58,44,58,62
"GNL3L",2404,3641,2459,3357,2107,2721,2591
"ITIH6",3402,0,4,0,0,0,0
"LOC101116800",2013,10744,6975,10064,5255,6684,6117
"TRO",2268,0,2,0,0,4,0
"PFKFB1",2544,2,0,0,0,2,4
"APEX2",2281,1251,888,1136,361,474,641
"ALAS2",2025,2,0,2,12,4,8
"MAGEH1",1449,410,282,260,210,344,304
"FOXR2",1528,0,0,0,0,0,0
"RRAGB",3747,967,724,858,517,562,516
"KLF8",8352,21,32,20,32,22,20
"UBQLN2",3213,2189,1573,2062,1194,1354,1124
"LOC105605452",760,2284,1609,2003,1799,1944,1904
"LOC101106829",851,8,4,5,19,22,16
"LOC101114419",2852,263,183,335,46,98,58
"LOC101114167",1333,3,2,2,0,1,0
"LOC101113911",1285,6,4,2,1,0,0
"HEPH",4639,425,248,397,200,240,196
"VSIG4",4256,6,0,4,0,4,3
"LOC105605676",5408,1369,953,1198,402,626,549
"LOC101112952",1644,700,464,559,709,871,752
"LOC106991988",1666,177,141,104,337,240,275
"MSN",4012,66713,50013,61789,52622,67918,63018
"LOC101105556",1620,0,0,0,0,0,0
"LOC101105310",692,0,0,0,0,0,2
"LOC106990308",304,21,22,6,4,9,10
"LAS1L",3423,1600,1110,1515,985,1379,1274
"LOC105605449",4426,2,0,6,8,0,0
"ZC3H12B",5237,108,104,112,99,71,131
"ZC4H2",2426,640,398,497,387,376,406
"LOC101111342",462,0,0,0,0,0,0
"MTMR8",3761,408,348,488,280,292,240
"ASB12",1094,148,92,142,42,96,96
"AMER1",8336,2096,1626,2096,764,1124,1022
"ARHGEF9",11121,425,432,442,172,251,203
"SPIN4",4408,362,272,286,228,188,182
"LOC105605675",1199,0,0,0,0,0,0
"ZXDB",6534,1000,726,849,342,444,441
"LOC101108987",5371,422,349,360,176,211,213
"LOC105605447",928,14,2,12,8,6,1
"ZNF674",4999,184,100,168,113,136,121
"MIR221",110,200,110,212,182,181,151
"LOC105605445",3226,1358,1448,1554,2092,2380,2451
"LOC101108192",992,0,0,0,0,2,2
"CXHXorf36",2719,0,4,2,2,0,0
"KDM6A",5872,4761,3986,4689,3850,4711,4358
"DUSP21",1016,6,0,0,0,0,2
"LOC101107415",1332,0,0,0,0,0,0
"FUNDC1",2113,604,474,559,566,697,600
"LOC105605444",5599,12,0,0,10,0,4
"EFHC2",2705,50,36,36,16,64,10
"NDP",990,0,0,0,0,4,2
"LOC105605674",320,0,0,0,0,0,0
"MAOB",3426,15997,12570,15624,10961,13993,13257
"MAOA",5087,54,72,72,53,38,50
"LOC101106143",1349,324,215,286,122,202,158
"LOC101105884",894,0,0,0,0,0,2
"LOC101105633",897,0,0,0,0,4,0
"GPR82",5384,242,216,281,141,138,156
"GPR34",8693,234,283,230,196,200,233
"CASK",5384,4527,3309,4347,2804,3748,3494
"NYX",5689,14,16,8,20,8,12
"LOC101105136",500,0,0,0,0,0,0
"LOC105605439",1068,165,148,152,231,255,230
"DDX3X",4653,31371,22276,29233,31029,37396,34297
"LOC105605438",4082,14,19,22,0,2,2
"LOC105605436",3926,212,208,234,161,124,196
"USP9X",12080,37012,28995,35690,24098,30448,28600
"LOC101123611",1561,0,2,0,0,0,0
"MED14",7118,4287,3577,4268,2770,3384,3148
"MPC1L",1807,46,28,32,66,82,54
"CXHXorf38",2065,732,600,616,417,496,452
"ATP6AP2",2113,21379,14326,18264,14965,18112,16426
"LOC105605434",1233,0,4,0,0,0,2
"LOC101102959",657,193,138,246,148,229,139
"LOC105605432",5515,0,2,6,0,4,2
"BCOR",11491,897,708,948,431,486,533
"LOC105605431",1991,2,18,20,18,13,4
"LOC106991980",939,26,23,37,14,33,24
"MID1IP1",1905,2276,1530,1820,508,573,543
"TRNAR-UCU",876,40,34,34,19,34,8
"TSPAN7",1743,1674,1500,1920,998,1302,1236
"LOC101121832",481,0,0,0,0,0,0
"LOC101121576",537,0,2,6,8,14,4
"OTC",2786,0,0,0,0,4,0
"LOC101101955",2508,72,74,111,75,126,87
"LOC101123349",2008,2421,1795,2313,1949,2451,2287
"RPGR",6472,380,272,375,286,321,246
"SRPX",1074,172,142,201,96,125,130
"LOC105605665",1482,4,4,0,0,0,0
"LOC106991987",2704,13,2,8,0,4,2
"LOC101120811",1185,4,0,2,0,6,4
"SYTL5",6758,144,97,94,102,80,106
"DYNLT3",2063,9971,6227,8122,6769,8703,7930
"CYBB",4786,419,203,335,226,294,336
"XK",3887,2940,2271,2629,1462,1678,1804
"LOC106991964",2475,616,414,510,288,364,344
"LANCL3",5549,1086,772,1051,579,734,652
"LOC105605664",265,4,6,4,0,6,0
"LOC101119796",2225,16,3,8,6,6,5
"LOC101119538",564,4,0,2,0,6,0
"LOC101119283",1519,10,6,0,0,16,0
"LOC105605427",3036,22,36,37,24,46,36
"PRRG1",9318,2256,1578,1983,1587,2159,1955
"LOC106991963",744,0,0,0,0,0,0
"LOC101118509",554,4,4,12,10,0,6
"LOC105605425",1738,2,0,2,0,0,0
"LOC101117994",1251,26,16,12,1,2,0
"LOC105605424",603,0,0,0,0,2,0
"LOC101117735",872,14,0,2,0,3,0
"LOC105605663",2316,229,112,173,112,202,189
"CFAP47",9799,93,72,94,44,40,82
"LOC101116709",1314,19,10,2,11,18,4
"LOC101121913",1089,6,2,4,0,6,1
"LOC101121660",1169,0,0,0,0,2,0
"LOC101121400",1068,0,0,0,0,0,0
"LOC101121149",879,9,482,541,468,27,26
"LOC105605422",1305,0,0,0,0,0,0
"LOC105605423",1220,0,0,0,0,0,0
"LOC101115943",1224,0,0,0,0,0,0
"TMEM47",3662,8413,5954,6881,6683,8294,7930
"LOC106991962",912,2,0,0,0,0,0
"LOC101120633",563,0,0,0,0,0,0
"LOC101115436",2107,10,37,38,20,14,12
"LOC105605421",852,1,1,1,1,0,0
"LOC101120383",2079,2,6,0,2,0,0
"LOC105605420",825,1,1,1,1,0,2
"LOC101114936",403,0,0,0,0,0,1
"LOC106991957",1114,2,2,5,1,3,2
"LOC105605415",793,2,4,2,1,3,2
"LOC105605416",10002,210,210,164,104,110,87
"DMD",15456,6522,4577,5723,4871,6430,5675
"LOC101113916",573,0,0,0,0,0,0
"TAB3",6586,3442,2766,3023,2676,3200,3075
"GK",8692,1442,1088,1385,702,898,776
"CXHXorf21",1674,0,0,2,8,3,10
"LOC101113393",1913,0,1,2,0,4,0
"LOC105605411",942,4,0,2,0,0,2
"NR0B1",1404,0,2,2,0,0,2
"LOC106990480",823,15,5,18,15,24,25
"LOC101112886",3921,898,633,948,626,814,644
"LOC106991961",664,59,92,61,54,70,68
"LOC106991960",414,15,9,19,1,9,4
"LOC101117392",1874,2097,1447,1855,984,1323,1248
"LOC101112379",361,0,0,0,0,0,0
"LOC101112117",962,10,2,10,12,16,4
"TRNAK-CUU",2337,51,45,49,58,93,90
"LOC105605662",3700,0,0,2,0,0,0
"IL1RAPL1",3703,6,0,2,0,0,4
"LOC101116885",432,202,109,156,129,157,127
"LOC101116631",1685,8098,5144,6451,3936,4320,4278
"LOC101111863",2372,25,21,30,10,34,25
"LOC101111610",1148,2043,1456,1967,1393,1856,1371
"LOC101111347",1757,8,4,0,6,0,4
"LOC101111077",269,0,6,0,0,0,1
"LOC101110823",3319,82,60,76,62,86,76
"LOC101110571",3470,220,260,260,140,176,202
"LOC101116377",313,0,0,0,0,0,3
"LOC105605406",535,34,41,31,22,47,60
"LOC101110036",1032,19,6,14,7,34,14
"LOC101116122",1451,2,2,0,0,4,4
"LOC101115855",2187,6,13,24,27,6,20
"LOC101109519",3637,6,15,32,6,18,22
"ARX",2540,95,110,150,69,72,70
"LOC105605403",2667,660,486,716,335,505,430
"POLA1",8559,4042,3296,4134,2056,2626,2449
"PCYT1B",4849,2228,1518,1948,1285,1482,1509
"PDK3",13766,1364,1134,1292,1290,1532,1279
"LOC105609982",2354,0,0,0,0,0,4
"LOC101108196",4144,0,0,0,0,0,0
"ZFX",10793,9316,6867,8616,6527,7986,7241
"EIF2S3",2043,5295,4217,5329,3313,4438,3691
"KLHL15",16188,5613,5134,5341,3350,4118,3839
"CXHXorf58",2793,67,61,64,24,28,45
"APOO",4265,2197,1621,1905,1610,1964,1877
"SAT1",1053,10892,7902,9440,11950,14263,11888
"LOC105605399",799,16,2,14,61,54,40
"ACOT9",1660,4221,3074,4008,3033,3601,3130
"PRDX4",1089,7422,5953,7519,4459,6361,5478
"PTCHD1",6298,126,117,114,117,174,111
"DDX53",4421,0,0,2,2,36,14
"LOC106991986",1027,8,0,0,2,0,6
"PHEX",10888,479,460,446,688,690,734
"SMS",1544,3413,2320,3346,3453,4329,4374
"YY2",3254,525,502,609,336,565,458
"MBTPS2",4710,1701,1212,1380,1201,1312,1409
"SMPX",938,20,2,14,12,32,18
"KLHL34",3502,10,12,4,6,8,12
"CNKSR2",9748,344,252,380,259,299,296
"LOC101105889",399,0,0,0,0,0,0
"LOC101105635",498,0,0,0,0,0,0
"LOC106991959",651,0,4,0,0,2,0
"LOC101105138",886,0,0,0,0,0,0
"RPS6KA3",10565,7143,5516,6789,6460,7985,7475
"EIF1AX",706,1962,1392,1888,1515,1995,1790
"MAP7D2",9530,74,52,94,84,93,104
"CXHXorf23",3680,1686,1339,1595,1098,1550,1585
"LOC101110649",645,73,41,77,54,88,68
"SH3KBP1",14082,3950,3177,4200,4634,5822,5424
"MAP3K15",3882,4121,3104,3840,1900,2608,2484
"PDHA1",1550,3158,2270,2993,2245,2932,2563
"LOC105605389",2874,0,0,0,0,1,0
"LOC101104638",377,0,0,0,0,0,2
"LOC105605388",2292,20,24,28,18,50,17
"ADGRG2",5524,231,101,190,127,216,213
"PHKA2",4290,1287,1007,1264,751,910,867
"PPEF1",10962,532,394,492,302,364,379
"TRNAV-UAC",437,6,9,12,7,6,0
"TRNAF-GAA",2258,20,40,43,38,49,40
"RS1",1604,8,5,8,4,2,0
"LOC105605386",5744,60,64,80,26,26,22
"CDKL5",5717,653,508,741,324,342,349
"LOC105605385",2424,20,16,14,16,2,18
"SCML2",5106,327,222,230,167,254,276
"BEND2",4710,12,8,11,13,6,4
"LOC101103626",1426,0,0,0,0,0,0
"LOC101103378",917,0,0,0,0,0,0
"RAI2",2146,0,1,0,0,0,0
"LOC105605384",2731,2,4,0,14,8,7
"SCML1",4307,677,649,630,389,479,582
"LOC105605382",3074,30,60,54,54,82,79
"LOC105605383",1172,4,7,2,0,2,18
"NHS",9031,1921,1482,1812,1632,1928,2041
"LOC106991958",478,0,0,0,0,0,0
"LOC101102624",535,0,0,0,0,0,0
"REPS2",10755,64,46,34,30,66,30
"LOC105605379",528,0,0,0,0,0,0
"RBBP7",1777,10456,7551,9898,6540,8012,7176
"TXLNG",4493,2317,1699,2015,1327,1718,1494
"SYAP1",2032,2406,1626,1915,1755,2157,1855
"S100G",535,8,14,10,10,2,14
"CTPS2",3660,1335,941,1150,736,1010,823
"LOC106990650",559,0,0,0,0,0,0
"LOC105605373",3062,4,2,2,6,2,4
"GRPR",10676,44,52,66,50,86,75
"LOC105605374",2703,20,8,2,4,11,9
"AP1S2",4374,14830,10145,13062,9002,10964,10102
"ZRSR2",2001,174,177,196,176,279,263
"CA5B",4447,8292,5778,7471,4583,5848,5404
"LOC105605369",4046,1543,1034,1285,1220,1389,1450
"LOC105605370",1192,16,21,11,25,20,12
"LOC105605371",1922,25,23,10,15,26,18
"CDC42",3674,10536,8148,9979,6714,8755,7962
"TMEM27",1384,292,168,207,228,262,234
"ACE2",4550,23,24,24,42,52,57
"BMX",4729,15,4,6,18,4,16
"LOC105605365",1369,4,16,6,2,0,8
"LOC105605367",2349,28,17,30,12,13,12
"PIR",2291,234,228,196,132,117,114
"FIGF",2917,2,4,12,7,14,4
"LOC105605368",723,16,12,22,8,10,14
"PIGA",8215,2870,2251,2349,1352,1650,1599
"ASB11",9535,1302,1226,1341,851,1127,1056
"ASB9",1870,136,142,74,125,164,116
"LOC101122834",717,524,272,544,327,449,451
"MOSPD2",3557,6994,4949,6361,4626,5634,5426
"LOC105605362",3394,21,34,39,4,18,17
"FANCB",4126,516,536,651,222,315,277
"GLRA2",4910,0,6,6,0,8,2
"LOC106990383",985,0,0,0,0,0,0
"LOC101121398",1231,6,0,0,0,0,0
"LOC105605360",1457,20,4,18,6,14,24
"GEMIN8",1150,470,324,468,242,290,377
"LOC105605357",3727,8,0,0,0,0,0
"GPM6B",4502,32,31,37,31,27,29
"OFD1",5341,413,436,388,313,299,200
"TRAPPC2",1618,2468,1737,2381,1946,2181,2279
"RAB9A",1792,685,457,627,833,844,745
"LOC105605354",2291,0,2,0,0,0,6
"EGFL6",1997,0,0,0,0,0,1
"TMSB4X",673,117876,85511,101119,71454,94526,74800
"TLR8",4301,0,2,2,4,2,10
"TLR7",3179,14,12,20,36,60,54
"LOC106991985",1290,40,28,45,52,83,24
"PRPS2",8611,1762,1066,1216,804,1160,1049
"FRMPD4",26289,138,119,118,167,165,162
"MSL3",3745,5035,3848,4487,3028,3589,3242
"LOC105605348",2229,67,58,83,4,36,26
"AMELX",755,7,11,10,2,8,2
"ARHGAP6",6895,1256,1217,1248,877,1030,1097
"LOC101118248",2258,1652,1188,1339,974,1285,1136
"LOC105605347",5385,62,127,90,56,52,58
"LOC106990249",536,1,4,2,7,1,2
"LOC101121403",2353,92,95,125,42,93,47
"MID1",11119,2422,1772,2300,1506,2137,1945
"LOC101120895",2595,0,0,0,0,0,2
"LOC106990532",1087,0,0,0,0,0,0
"CLDN34",878,0,0,0,0,0,0
"LOC106990535",1135,0,0,0,0,0,0
"WWC3",7692,5552,4149,5187,3899,5116,4997
"CLCN4",5820,1730,1406,1729,872,1069,1273
"LOC105605344",3152,16,2,24,16,36,4
"LOC105605341",544,3,2,2,1,2,2
"SHROOM2",6353,191,124,214,86,70,96
"GPR143",1534,63,71,86,62,75,67
"TBL1X",4522,4422,3293,4384,2774,3889,3540
"LOC105605337",1176,0,0,0,0,0,0
"ANOS1",1755,4,0,0,0,2,0
"LOC105605335",4719,8,6,6,0,8,6
"LOC106991979",1054,0,0,0,4,0,0
"LOC105605336",10788,391,356,325,221,278,236
"PNPLA4",1593,179,91,129,48,101,92
"LOC105605334",1534,2,0,0,0,4,2
"STS",2500,92,59,72,40,50,48
"PUDP",1907,1012,870,1089,602,654,607
"NLGN4X",6859,1215,1060,1318,656,932,1026
"LOC106991978",1988,15,25,14,16,8,10
"LOC101116799",779,0,0,0,0,2,0
"LOC101116537",2258,2,8,4,16,12,10
"LOC101116281",821,2,0,7,11,0,15
"LOC105605670",897,0,0,0,0,0,0
"LOC101116018",1386,0,0,0,0,0,0
"LOC101117055",2326,817,621,663,488,535,414
"LOC105605322",934,18,20,11,17,22,39
"LOC105605323",1299,4,2,10,6,12,18
"PRKX",1842,1422,1066,1350,727,1042,1004
"LOC105605320",600,0,2,4,4,0,4
"LOC105605321",7804,328,269,263,229,296,238
"LOC105605319",2874,16,30,13,56,32,34
"MXRA5",10235,24200,17690,23524,8033,10690,9880
"LOC105605318",1229,89,79,82,14,36,30
"LOC101116287",3703,60,42,44,44,50,51
"ARSE",5981,1119,776,1016,446,569,604
"LOC101116024",2097,159,104,166,60,101,98
"GYG2",3121,1585,1225,1475,754,856,967
"XG",5932,3881,2458,3437,1610,2395,2443
"CD99",3537,19473,14457,18205,12159,15654,14686
"ZBED1",2293,396,244,360,130,258,226
"DHRSX",1574,276,190,214,149,190,185
"LOC106990378",3670,10,8,6,7,18,30
"ASMT",973,0,0,6,4,0,4
"AKAP17A",2447,365,340,398,286,409,350
"P2RY8",3628,15,9,16,10,2,4
"ASMTL",1127,353,204,328,170,272,214
"SLC25A6",706,10166,6517,9878,5857,7844,7805
"IL3RA",2068,8,41,16,24,14,31
"LOC105605313",3748,70,33,33,36,54,36
"LOC101115509",6257,218,150,200,105,109,114
"CRLF2",2360,0,0,0,4,0,0
"LOC105605310",548,0,0,0,0,0,0
"LOC105605292",1999,206,109,140,63,86,108
"LOC105605293",3972,254,223,223,98,128,150
"ZNF385D",3478,154,83,111,77,66,71
"LOC105605288",5266,0,0,0,0,0,0
"LOC105605283",7379,0,4,0,0,0,0
"LOC105605284",4680,0,0,0,0,0,0
"LOC101102122",569,1524,683,1669,1279,1742,1307
"LOC105605280",440,8,15,31,9,4,27
"LOC105605281",1325,20,16,22,14,24,22
"UBE2E2",508,141,76,80,69,76,91
"LOC106990476",825,0,0,0,0,0,0
"UBE2E1",1462,2247,1760,2300,1988,2366,2285
"NKIRAS1",973,58,44,24,24,45,43
"RPL15",704,6957,5138,6848,4589,5897,5132
"NR1D2",4016,1263,980,1275,891,1159,1079
"LOC105601914",1370,1,1,0,1,2,0
"LOC101103293",1206,1,2,8,1,0,2
"THRB",1358,294,260,197,113,171,106
"LOC106991956",2331,4,0,4,0,0,6
"RARB",3196,70,51,76,66,102,119
"LOC106991955",1199,16,30,37,6,22,16
"TOP2B",9770,5412,3866,5284,3547,4892,4375
"LOC105605270",487,3,6,0,0,2,16
"LOC105605269",2955,67,92,93,46,57,65
"NGLY1",6314,1804,1350,1686,875,1222,970
"LOC105605266",1070,16,14,6,0,2,2
"OXSM",1621,573,472,417,122,176,158
"LOC106991954",408,0,2,6,0,0,2
"LOC105605263",2343,151,80,134,84,95,115
"LRRC3B",3714,0,2,6,0,0,0
"LOC101121146",771,0,0,0,0,4,0
"LOC101120889",3183,130,64,138,52,48,29
"PSD3",3570,8,4,10,12,12,6
"SH2D4A",3491,0,0,4,0,0,0
"LOC101120469",3636,8,2,16,8,14,8
"LOC105605252",1866,13,0,2,0,0,0
"INTS10",2450,2211,1631,2025,1379,1601,1532
"HGSNAT",3154,2159,1601,2048,1130,1746,1476
"POMK",7586,1473,1221,1478,781,1018,1019
"FNTA",990,2965,1989,2673,2484,3002,2846
"HOOK3",7671,6856,5741,6747,4880,6178,5851
"LOC105605248",986,42,36,58,28,26,30
"RNF170",4285,3876,2986,3262,2198,2914,2704
"LOC105605247",710,20,18,16,16,42,40
"THAP1",4065,1428,920,1268,1747,2209,2059
"CHRNA6",4504,16,2,4,12,17,14
"CHRNB3",2944,0,0,0,0,4,5
"SMIM19",3754,2833,2004,2601,1560,2087,2038
"LOC105605295",965,17,16,8,20,10,10
"SLC20A2",6981,5103,3490,4224,2768,3991,3881
"VDAC3",1407,5870,4370,5744,3488,4633,3838
"DKK4",1569,10,8,2,21,22,48
"POLB",1843,417,311,484,459,502,510
"LOC105605246",1437,37,19,30,43,53,42
"IKBKB",4147,649,395,564,298,468,432
"PLAT",2553,1532,1084,1491,769,973,817
"LOC105605245",2720,8,18,11,6,5,12
"AP3M2",4794,318,330,328,166,217,260
"KAT6A",10520,2921,2105,2651,2339,3046,2840
"LOC105605242",1280,0,0,0,0,0,0
"ANK1",7407,0,4,0,2,4,3
"NKX6-3",2865,0,0,0,0,0,0
"GPAT4",3868,1603,1260,1594,1045,1401,1481
"GINS4",2031,360,279,415,188,257,206
"GOLGA7",2034,4430,3361,3911,3677,4531,4424
"SFRP1",3921,56,16,36,20,20,18
"LOC105605240",7681,0,0,0,0,0,0
"ZMAT4",7168,0,0,0,0,0,4
"C26H8orf4",1317,690,476,610,988,1113,1031
"IDO2",2750,2,1,1,5,0,0
"IDO1",1251,2,0,4,105,167,135
"LOC101120301",5469,0,0,0,0,0,0
"LOC105605237",607,0,2,0,2,0,0
"LOC105605236",880,0,0,0,0,0,0
"ADAM2",2848,0,4,5,0,10,6
"LOC101115758",2494,2,2,4,4,8,6
"LOC101119791",2617,10,0,6,25,50,66
"LOC101115256",657,0,2,8,10,4,14
"ADAM32",7753,195,229,231,428,415,376
"ADAM9",5143,6801,4715,6216,5836,7579,7127
"TM2D2",3003,2462,1705,2104,1986,2545,2456
"HTRA4",1690,7,19,16,40,34,35
"PLEKHA2",4988,8144,6491,7876,4211,5172,4931
"TACC1",6245,7483,5527,6304,6497,7912,7734
"LOC105605233",1294,0,0,0,0,0,2
"FGFR1",3775,2751,1875,2676,1703,2412,2371
"LETM2",3732,124,103,102,174,195,178
"WHSC1L1",16029,2145,1907,2366,2514,2980,3139
"PLPP5",1908,676,454,594,438,633,630
"DDHD2",4323,3754,2706,3454,2032,2655,2408
"LOC100037668",484,318,171,302,187,279,272
"BAG4",8137,2737,1861,2338,1888,2385,2270
"LSM1",892,359,225,319,235,321,347
"STAR",1141,109,83,94,41,73,48
"ASH2L",4372,1735,1456,1908,978,1454,1197
"EIF4EBP1",875,368,226,378,254,372,336
"ADRB3",1908,16,10,14,4,2,12
"LOC106991953",380,0,2,4,0,0,0
"GOT1L1",1266,6,0,0,0,4,6
"RAB11FIP1",3638,3559,2656,3337,1696,2130,2138
"BRF2",2135,245,185,268,165,158,134
"ADGRA2",3813,1756,1158,1723,735,1038,997
"PROSC",2917,2892,2161,2583,1386,1933,1685
"ERLIN2",5334,4865,3517,4207,2318,2754,2809
"LOC105605232",2443,2,0,8,4,6,4
"ZNF703",1590,476,232,394,218,402,318
"LOC105605231",3260,37,13,28,12,24,24
"LOC105607919",530,9,2,20,7,20,4
"LOC105605229",322,19,20,10,10,12,4
"LOC105605227",3022,0,0,0,0,0,0
"KCNU1",4261,0,0,0,0,6,4
"LOC105605224",4270,6,2,2,0,2,0
"LOC101109940",801,12,4,5,8,24,5
"LOC101109675",908,393,278,268,238,261,230
"TRNAK-UUU",2408,170,84,158,77,132,101
"LOC101109417",657,347,199,369,291,435,341
"UNC5D",5462,454,259,309,260,189,249
"LOC105606408",4572,0,2,0,0,0,0
"DUSP26",1621,0,0,0,0,0,0
"RNF122",1667,198,129,188,132,183,180
"TTI2",2631,1296,958,1302,688,1027,848
"MAK16",1317,365,324,388,270,359,356
"LOC101108106",3122,58,61,12,52,64,90
"FUT10",4898,1507,1250,1672,1483,2109,1703
"LOC101115938",972,0,0,0,1,2,6
"NRG1",19257,10253,9806,11443,28162,33288,33130
"LOC105605215",2210,0,0,6,0,0,4
"WRN",5216,1454,1196,1411,1007,1315,1093
"PURG",8344,1043,1072,1037,456,488,601
"LOC105605209",4940,72,127,54,2,18,24
"TEX15",16196,1966,1674,1722,978,1215,1040
"PPP2CB",1910,4605,3624,4134,3477,4329,4042
"LOC101114673",1873,485,350,422,321,471,421
"UBXN8",2521,378,226,404,258,362,367
"LOC101105800",657,0,0,2,2,0,0
"GSR",4658,1881,1433,1726,1456,1977,1969
"SMIM18",5292,72,104,84,89,90,73
